"group","location","species_name","species","length","weight","distance","DDT_conc"
1,9,"buffalo",2,45,1437,300,5.1
1,9,"buffalo",2,44.5,1460,300,5.1
1,9,"buffalo",2,49,1671,300,4
1,9,"buffalo",2,47.5,1717,300,10
2,10,"catfish",1,35,613,305,12
2,10,"catfish",1,51,353,305,22
2,10,"catfish",1,42.5,909,305,10
2,10,"catfish",1,38,886,305,11
2,10,"catfish",1,41,890,305,17
2,10,"catfish",1,47,1031,305,9.7
2,11,"catfish",1,45,1083,310,12
2,11,"catfish",1,45.5,864,310,4.7
2,11,"catfish",1,45,886,310,6
2,11,"catfish",1,45,965,310,3.8
2,11,"catfish",1,39,537,310,17
2,11,"catfish",1,40.5,630,310,12
2,11,"buffalo",2,46,1486,310,1.4
2,11,"buffalo",2,47,1743,310,6.1
2,11,"buffalo",2,48.5,2061,310,2.8
2,11,"buffalo",2,48,1707,310,4.8
2,11,"buffalo",2,38,862,310,5.7
2,11,"buffalo",2,38.5,911,310,3.3
2,12,"catfish",1,29.5,476,315,3.3
2,12,"catfish",1,42,743,315,3.7
2,12,"catfish",1,47.5,1128,315,9.9
2,12,"catfish",1,43.5,848,315,6.8
2,12,"catfish",1,47.5,1091,315,13
2,12,"catfish",1,43.5,715,315,8.8
2,13,"catfish",1,47.5,983,320,57
2,13,"catfish",1,51.5,1251,320,96
2,13,"catfish",1,49.5,1255,320,360
2,13,"catfish",1,47,1152,320,130
2,13,"catfish",1,47.5,1085,320,13
2,13,"catfish",1,47,1118,320,61
2,13,"buffalo",2,36,1285,320,12
2,13,"buffalo",2,34.5,1178,320,33
2,13,"buffalo",2,44.5,1492,320,48
2,13,"buffalo",2,46,1524,320,10
2,13,"buffalo",2,46,1473,320,44
2,13,"buffalo",2,32.5,520,320,0.43
2,14,"catfish",1,46,863,325,110
2,14,"catfish",1,40,549,325,9.4
2,14,"catfish",1,43.5,810,325,4.1
2,14,"catfish",1,46.5,908,325,2.8
2,14,"catfish",1,43,804,325,0.74
2,14,"catfish",1,47.5,1179,325,14
2,15,"catfish",1,32,556,330,22
2,15,"catfish",1,40.5,659,330,9.1
2,15,"catfish",1,51.5,1229,330,140
2,15,"catfish",1,48,1050,330,4.2
2,15,"catfish",1,47,952,330,12
2,15,"catfish",1,41,826,330,2
2,15,"buffalo",2,33.5,599,330,0.3
2,15,"buffalo",2,47,1704,330,1.2
2,16,"catfish",1,50,1207,340,7.1
2,16,"catfish",1,45,911,340,180
2,16,"catfish",1,49,1498,340,1.5
2,16,"catfish",1,49.5,1496,340,2.4
2,16,"catfish",1,50,1142,340,4.3
2,16,"catfish",1,45,879,340,3.9
2,16,"buffalo",2,32.5,525,340,0.99
2,16,"buffalo",2,38,806,340,0.45
2,16,"buffalo",2,38.5,694,340,2.5
2,16,"buffalo",2,36,643,340,0.25
2,17,"bass",3,26.5,514,345,0.58
2,17,"bass",3,23.5,358,345,2
2,17,"bass",3,30,856,345,2.2
2,17,"bass",3,29,793,345,7.4
2,17,"bass",3,17.5,173,345,0.35
2,17,"bass",3,36,1433,345,1.9
